Clinic Name,Website,Website_Status,Website_Link,Crawled_URL,Page_Title,Word_Count,Crawl_Status,Saved_Text_File
"Farid Arroyave, PT, MS",homeptsolutions.com,LIVE,https://homeptsolutions.com,https://homeptsolutions.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Farid_Arroyave_PT_MS.txt
Magic Hands Physical Therapy,magichandspt.com,LIVE,https://magichandspt.com,https://magichandspt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Magic_Hands_Physical_Therapy.txt
Magic Hands PT,magichandspt.com,LIVE,https://magichandspt.com,https://magichandspt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Magic_Hands_PT.txt
Physical Therapy Associates,,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Physical_Therapy_Associates.txt
JAG Physical Therapy (Turnbull),jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_Physical_Therapy_Turnbull.txt
Pro Form PT — University Ave (Bronx),proformphysicaltherapypc.com,LIVE,https://proformphysicaltherapypc.com,https://proformphysicaltherapypc.com,Physical Therapy | Pro Form Physical therapy P.C. | United States,3335,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Pro_Form_PT_University_Ave_Bronx.txt
KinesioWorks Physical Therapy,kinesioworks.com,LIVE,https://kinesioworks.com,https://kinesioworks.com,"KinesioWorks Physical Therapy in Bronx & New York, NY",20264,OK,C:\Users\COB\Downloads\competitor\scraped_texts\KinesioWorks_Physical_Therapy.txt
PT of The City — Lenox Hill,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Lenox_Hill.txt
Brooklyn Body Works PT,bbwphysicaltherapy.com,LIVE,https://bbwphysicaltherapy.com,https://bbwphysicaltherapy.com,Home - Brooklyn Body Works Physical Therapy,1344,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Brooklyn_Body_Works_PT.txt
Function in Motion PT,functioninmotionpt.com,LIVE,https://functioninmotionpt.com,https://functioninmotionpt.com,"Function in Motion Physical Therapy PC | Bronx, NY",10,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Function_in_Motion_PT.txt
"VP Physical Therapy, PLLC",,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\VP_Physical_Therapy_PLLC.txt
Fit Club Astoria PT,fitclubny.com,LIVE,https://fitclubny.com,https://fitclubny.com,Physical Therapy Clinic NYC | Fit Club Physical Therapy,1692,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Fit_Club_Astoria_PT.txt
Crescent Physical Therapy,crescentphysicaltherapy.com,LIVE,https://crescentphysicaltherapy.com,https://crescentphysicaltherapy.com,Crescent Physical Therapy – Get the individualized care you deserve,1122,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Crescent_Physical_Therapy.txt
NISMAT — Nicholas Institute,nismat.org,LIVE,https://nismat.org,https://nismat.org,The Nicholas Institute of Sports Medicine and Athletic Trauma – NISMAT offers comprehensive sports medicine references and information for practitioners and athletes of all levels,1071,OK,C:\Users\COB\Downloads\competitor\scraped_texts\NISMAT_Nicholas_Institute.txt
JAG PT — Ocean Ave,jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_PT_Ocean_Ave.txt
Tribeca Physical Therapy,tribecaphysicaltherapy.com,LIVE,https://tribecaphysicaltherapy.com,https://tribecaphysicaltherapy.com,Physical Therapy in Tribeca | New York | Tribeca PT,2617,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Tribeca_Physical_Therapy.txt
Elite Physical Therapy — Astoria,eliteptny.com,LIVE,https://eliteptny.com,https://eliteptny.com,Elite Physical Therapy,1940,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Elite_Physical_Therapy_Astoria.txt
MOTION Sports Medicine — Astoria,motionptg.com,LIVE,https://motionptg.com,https://motionptg.com,"Physical, Occupational, & Speech Therapy - MOTION",2219,OK,C:\Users\COB\Downloads\competitor\scraped_texts\MOTION_Sports_Medicine_Astoria.txt
PT of The City — Chelsea,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Chelsea.txt
